# Resource monitor: nav2_amcl (algorithm=amcl)
# timestamp_s  cpu_pct  ram_mb
1.0  8.00  28.6
2.0  8.00  28.6
3.0  8.00  28.7
4.0  8.00  28.7
5.0  8.00  28.7
6.0  8.00  28.7
7.0  8.00  28.7
8.0  8.00  28.8
9.0  9.00  28.8
10.0  8.00  28.8
11.0  8.00  28.8
12.0  9.00  28.9
13.0  9.00  28.9
14.0  8.00  28.9
15.0  9.00  28.9
16.0  9.00  28.9
17.0  9.00  28.9
18.0  8.00  28.9
19.0  9.00  28.9
20.0  9.00  28.9
21.0  8.00  28.9
22.0  8.00  28.9
23.0  9.00  28.9
24.0  9.00  28.9
25.0  8.00  28.9
26.0  9.00  28.9
27.0  9.00  28.9
28.0  9.00  28.9
29.0  8.00  28.9
30.0  9.00  28.9
31.0  8.00  28.9
32.0  9.00  29.0
33.0  8.00  29.0
34.0  9.00  29.0
35.0  9.00  29.0
36.0  9.00  29.0
37.0  9.00  29.0
38.0  8.00  29.0
39.0  8.00  29.0
40.0  10.00  29.0
41.0  8.00  29.0
42.0  9.00  29.0
43.0  9.00  29.0
44.0  8.00  29.0
45.0  10.00  29.0
46.0  8.00  29.0
47.0  9.00  29.0
48.0  8.00  29.0
49.0  9.00  29.0
50.0  8.00  29.0
51.0  10.00  29.0
52.0  9.00  29.0
53.0  8.00  29.0
54.0  8.00  29.0
55.0  9.00  29.0
56.0  8.00  29.0
57.0  9.00  29.0
58.0  9.00  29.0
59.0  8.00  29.0
60.0  10.00  29.0
61.0  7.00  29.0
62.0  9.00  29.0
63.0  9.00  29.0
64.0  9.00  29.0
65.0  9.00  29.0
66.0  8.00  29.0
67.0  9.00  29.0
68.0  10.00  29.0
69.0  8.00  29.0
70.0  10.00  29.0
71.0  8.00  29.0
72.0  9.00  29.0
73.0  9.00  29.0
74.0  9.00  29.0
75.0  8.00  29.0
76.0  9.00  29.0
77.0  8.00  29.0
78.0  9.00  29.0
79.0  9.00  29.0
80.0  8.00  29.0
81.0  9.00  29.0
82.0  9.00  29.0
83.0  8.00  29.0
84.0  9.00  29.0
85.0  9.00  29.0
86.0  8.00  29.0
87.0  9.00  29.0
88.0  9.00  29.0
89.0  9.00  29.1
90.0  9.00  29.1
91.0  8.00  29.1
92.0  9.00  29.1
93.0  9.00  29.1
94.0  8.00  29.1
95.0  10.00  29.1
96.0  8.00  29.1
97.0  9.00  29.1
98.0  9.00  29.1
99.0  9.00  29.1
100.0  8.00  29.1
101.0  9.00  29.1
102.0  9.00  29.1
103.0  8.00  29.1
104.0  9.00  29.1
105.0  9.00  29.1
106.0  8.00  29.1
107.0  10.00  29.1
108.0  7.00  29.1
109.0  10.00  29.1
110.0  8.00  29.1
111.0  9.00  29.1
112.0  9.00  29.1
113.0  8.00  29.1
114.0  10.00  29.1
115.0  8.00  29.1
116.0  9.00  29.1
117.0  9.00  29.1
118.0  9.00  29.1
119.0  8.00  29.1
120.0  9.00  29.1
121.0  9.00  29.1
122.0  8.00  29.1
123.0  9.00  29.1
124.0  9.00  29.1
125.0  8.00  29.1
126.0  9.00  29.1
127.0  9.00  29.1
128.0  8.00  29.1
129.0  10.00  29.1
130.0  8.00  29.1
131.0  9.00  29.1
132.0  9.00  29.1
133.0  9.00  29.1
134.0  8.00  29.1
135.0  9.00  29.1
136.0  9.00  29.1
137.0  10.00  29.1
138.0  7.00  29.1
139.0  10.00  29.1
140.0  8.00  29.1
141.0  9.00  29.1
142.0  8.00  29.1
143.0  9.00  29.1
144.0  8.00  29.1
145.0  9.00  29.1
146.0  8.00  29.1
147.0  10.00  29.1
148.0  8.00  29.2
149.0  9.00  29.2
150.0  10.00  29.2
151.0  8.00  29.2
152.0  9.00  29.2
153.0  9.00  29.2
154.0  9.00  29.2
155.0  8.00  29.2
156.0  8.00  29.2
157.0  9.00  29.2
158.0  9.00  29.2
159.0  9.00  29.2
160.0  9.00  29.2
161.0  8.00  29.2
162.0  9.00  29.2
163.0  8.00  29.2
164.0  9.00  29.2
165.0  9.00  29.2
166.0  9.00  29.2
167.0  9.00  29.2
168.0  8.00  29.2
169.0  9.00  29.2
170.0  8.00  29.2
171.0  9.00  29.2
172.0  9.00  29.2
173.0  8.00  29.2
174.0  10.00  29.2
175.0  8.00  29.2
176.0  9.00  29.2
177.0  9.00  29.2
178.0  8.00  29.2
179.0  9.00  29.2
180.0  8.00  29.2
181.0  9.00  29.2
182.0  9.00  29.2
183.0  9.00  29.2
184.0  8.00  29.2
185.0  10.00  29.2
186.0  8.00  29.2
187.0  8.00  29.2
188.0  10.00  29.2
189.0  8.00  29.2
190.0  9.00  29.2
191.0  9.00  29.2
192.0  9.00  29.2
193.0  8.00  29.2
194.0  9.00  29.2
195.0  9.00  29.2
196.0  8.00  29.2
197.0  10.00  29.2
198.1  8.00  29.2
199.1  8.00  29.2
200.1  9.00  29.2
201.1  8.00  29.2
202.1  10.00  29.2
203.1  8.00  29.2
204.1  9.00  29.3
205.1  9.00  29.3
206.1  8.00  29.3
207.1  10.00  29.3
208.1  8.00  29.3
209.1  9.00  29.3
210.1  8.00  29.3
211.1  9.00  29.3
212.1  9.00  29.3
213.1  8.00  29.3
214.1  9.00  29.3
215.1  8.00  29.3
216.1  9.00  29.3
217.1  9.00  29.3
218.1  9.00  29.3
219.1  9.00  29.3
220.1  8.00  29.3
221.1  9.00  29.3
222.1  9.00  29.3
223.1  9.00  29.3
224.1  9.00  29.3
225.1  10.00  29.3
226.1  8.00  29.3
227.1  9.00  29.3
228.1  8.00  29.3
229.1  10.00  29.3
230.1  8.00  29.3
231.1  9.00  29.3
232.1  9.00  29.3
233.1  9.00  29.3
234.1  9.00  29.3
235.1  8.00  29.3
236.1  9.00  29.3
237.1  9.00  29.3
238.1  8.00  29.3
239.1  9.00  29.3
240.1  9.00  29.4
241.1  8.00  29.4
242.1  9.00  29.4
243.1  9.00  29.4
244.1  9.00  29.4
245.1  8.00  29.4
246.1  9.00  29.4
247.1  9.00  29.4
248.1  9.00  29.4
249.1  8.00  29.4
250.1  9.00  29.4
251.1  8.00  29.4
252.1  9.00  29.4
253.1  10.00  29.4
254.1  8.00  29.4
255.1  10.00  29.4
256.1  8.00  29.4
257.1  8.00  29.4
258.1  9.00  29.4
259.1  9.00  29.4
260.1  9.00  29.4
261.1  9.00  29.4
262.1  7.00  29.4
263.1  9.00  29.4
264.1  9.00  29.4
265.1  9.00  29.4
266.1  8.00  29.4
267.1  10.00  29.4
268.1  8.00  29.4
269.1  10.00  29.4
270.1  8.00  29.4
271.1  9.00  29.4
272.1  8.00  29.4
273.1  9.00  29.4
274.1  10.00  29.4
275.1  8.00  29.4
276.1  9.00  29.4
277.1  8.00  29.4
278.1  9.00  29.4
279.1  9.00  29.4
280.1  9.00  29.4
281.1  8.00  29.4
282.1  9.00  29.4
283.1  9.00  29.4
284.1  9.00  29.4
285.1  8.00  29.4
286.1  9.00  29.4
287.1  9.00  29.4
288.1  8.00  29.4
289.1  9.00  29.4
290.1  8.00  29.4
291.1  9.00  29.4
292.1  9.00  29.4
293.1  8.00  29.4
294.1  10.00  29.4
295.1  9.00  29.4
296.1  9.00  29.4
297.1  8.00  29.4
298.1  9.00  29.4
299.1  9.00  29.4
300.1  8.00  29.4
301.1  9.00  29.4
302.1  9.00  29.4
303.1  8.00  29.4
304.1  9.00  29.4
305.1  9.00  29.5
306.1  8.00  29.5
307.1  9.00  29.5
308.1  9.00  29.5
309.1  9.00  29.5
310.1  9.00  29.5
311.1  8.00  29.5
312.1  9.00  29.5
313.1  9.00  29.5
314.1  8.00  29.5
315.1  9.00  29.5
316.1  9.00  29.5
317.1  9.00  29.5
318.1  7.00  29.5
319.1  10.00  29.5
320.1  8.00  29.5
321.1  10.00  29.5
322.1  8.00  29.5
323.1  9.00  29.5
324.1  9.00  29.5
325.1  8.00  29.5
326.1  9.00  29.5
327.1  9.00  29.5
328.1  8.00  29.5
329.1  9.00  29.5
330.1  9.00  29.5
331.1  8.00  29.5
332.1  9.00  29.5
333.1  8.00  29.5
334.1  10.00  29.5
335.1  8.00  29.5
336.1  9.00  29.5
337.1  9.00  29.5
338.1  8.00  29.5
339.1  9.00  29.5
340.1  9.00  29.5
341.1  9.00  29.5
342.1  8.00  29.5
343.1  9.00  29.5
344.1  9.00  29.5
345.1  8.00  29.5
346.1  9.00  29.5
347.1  9.00  29.5
348.1  9.00  29.5
349.1  8.00  29.5
350.1  8.00  29.5
351.1  9.00  29.5
352.1  10.00  29.5
353.1  8.00  29.5
354.1  9.00  29.5
355.1  8.00  29.5
356.1  9.00  29.5
357.1  8.00  29.5
358.1  10.00  29.5
359.1  8.00  29.5
360.1  9.00  29.5
361.1  9.00  29.5
362.1  8.00  29.5
363.1  9.00  29.5
364.1  8.00  29.5
365.1  9.00  29.5
366.1  9.00  29.5
367.1  9.00  29.5
368.1  9.00  29.6
369.1  8.00  29.6
370.1  9.00  29.6
371.1  9.00  29.6
372.1  8.00  29.6
373.1  10.00  29.6
374.1  7.00  29.6
375.1  9.00  29.6
376.1  9.00  29.6
377.1  9.00  29.6
378.1  9.00  29.6
379.1  8.00  29.6
380.1  9.00  29.6
381.1  9.00  29.6
382.1  9.00  29.6
383.1  9.00  29.6
384.1  8.00  29.6
385.1  10.00  29.6
386.1  8.00  29.6
387.1  9.00  29.6
388.1  8.00  29.6
389.1  9.00  29.6
390.1  9.00  29.6
391.1  9.00  29.6
392.1  9.00  29.6
393.1  8.00  29.6
394.1  10.00  29.6
395.1  8.00  29.6
396.1  9.00  29.6
397.1  8.00  29.6
398.1  9.00  29.6
399.1  9.00  29.6
400.1  8.00  29.6
401.1  10.00  29.6
402.1  7.00  29.6
403.1  9.00  29.6
404.1  9.00  29.6
405.1  10.00  29.6
406.1  8.00  29.6
407.1  9.00  29.6
408.1  9.00  29.6
409.1  8.00  29.6
410.1  11.00  29.6
411.1  7.00  29.6
412.1  10.00  29.6
413.1  8.00  29.6
414.1  9.00  29.6
415.1  8.00  29.6
416.1  9.00  29.6
417.1  9.00  29.6
418.1  9.00  29.6
419.1  8.00  29.6
420.1  9.00  29.6
421.1  8.00  29.6
422.1  10.00  29.6
423.1  8.00  29.6
424.1  9.00  29.6
425.1  8.00  29.6
426.1  9.00  29.6
427.1  9.00  29.6
428.1  8.00  29.7
429.1  9.00  29.7
